,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,4.0,214.0,237.0,197.0,161.0,230.0,250.0,215
Expenses,3.0,204.0,223.0,188.0,153.0,218.0,242.0,206
Operating Profit,0.0,10.0,14.0,9.0,9.0,11.0,8.0,9
OPM %,6.0,5.0,6.0,5.0,5.0,5.0,3.0,4
Other Income,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1
Interest,0.0,5.0,6.0,6.0,7.0,7.0,8.0,10
Depreciation,0.0,1.0,1.0,1.0,2.0,1.0,2.0,2
Profit before tax,0.0,4.0,8.0,2.0,1.0,4.0,-1.0,-1
Tax %,30.0,9.0,29.0,44.0,125.0,32.0,-34.0,
Net Profit,0.0,4.0,5.0,1.0,-0.0,3.0,-1.0,-1
EPS in Rs,0.06,0.35,0.49,0.13,-0.01,0.23,-0.1,-0.10
