,Dec 2011,Dec 2012,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,TTM
Sales,269.0,274.0,304.0,341.0,344.0,365.0,383.0,409.0,394.0,383.0,522.0,645.0,671
Expenses,235.0,243.0,265.0,299.0,282.0,287.0,304.0,344.0,340.0,313.0,444.0,531.0,530
Operating Profit,34.0,31.0,39.0,42.0,62.0,79.0,78.0,65.0,54.0,70.0,78.0,114.0,141
OPM %,13.0,11.0,13.0,12.0,18.0,22.0,20.0,16.0,14.0,18.0,15.0,18.0,21
Other Income,7.0,11.0,11.0,8.0,6.0,8.0,9.0,31.0,18.0,22.0,25.0,28.0,42
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
Depreciation,5.0,5.0,5.0,5.0,6.0,5.0,6.0,7.0,7.0,12.0,12.0,12.0,12
Profit before tax,36.0,37.0,45.0,45.0,62.0,81.0,81.0,89.0,64.0,80.0,91.0,129.0,170
Tax %,31.0,26.0,29.0,30.0,32.0,33.0,32.0,26.0,22.0,23.0,27.0,24.0,
Net Profit,25.0,28.0,32.0,32.0,42.0,54.0,55.0,66.0,50.0,62.0,67.0,98.0,127
EPS in Rs,31.21,34.79,40.05,39.87,52.68,68.73,69.48,82.99,62.51,77.9,84.36,123.34,159.92
