,Sep 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,198.0,46.0,140.0,164.0,96.0,98.0,109.0,197.0,184.0,176.0,312.0,206.0,199
Expenses,200.0,62.0,137.0,159.0,91.0,88.0,105.0,190.0,175.0,169.0,294.0,204.0,207
Operating Profit,-2.0,-17.0,3.0,4.0,4.0,11.0,4.0,7.0,9.0,7.0,18.0,2.0,-8
OPM %,-1.0,-37.0,2.0,3.0,4.0,11.0,4.0,3.0,5.0,4.0,6.0,1.0,-4
Other Income,2.0,23.0,0.0,0.0,1.0,2.0,5.0,7.0,4.0,3.0,1.0,1.0,1
Interest,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,1.0,2.0,4
Depreciation,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,4.0,4
Profit before tax,-6.0,6.0,2.0,3.0,4.0,12.0,8.0,11.0,8.0,3.0,14.0,-3.0,-15
Tax %,-55.0,-22.0,77.0,10.0,-9.0,3.0,37.0,30.0,32.0,33.0,27.0,23.0,
Net Profit,-9.0,8.0,0.0,3.0,5.0,11.0,5.0,8.0,5.0,2.0,11.0,-2.0,-11
EPS in Rs,-9.35,8.55,0.44,3.35,5.01,12.42,5.28,8.27,5.72,2.37,11.0,-2.1,-11.59
