,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,121.0,133.0,158.0,148.0,134.0,136.0,139.0,146.0,68.0,127.0,197.0,201
Expenses,97.0,101.0,113.0,107.0,97.0,96.0,100.0,104.0,58.0,96.0,141.0,146
Operating Profit,24.0,32.0,45.0,41.0,37.0,40.0,38.0,42.0,11.0,30.0,56.0,55
OPM %,20.0,24.0,28.0,28.0,28.0,30.0,28.0,29.0,16.0,24.0,28.0,28
Other Income,1.0,2.0,1.0,3.0,5.0,6.0,5.0,6.0,4.0,6.0,5.0,7
Interest,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,3
Depreciation,2.0,4.0,5.0,6.0,7.0,7.0,9.0,12.0,11.0,12.0,14.0,15
Profit before tax,21.0,29.0,39.0,36.0,33.0,37.0,33.0,34.0,2.0,23.0,44.0,45
Tax %,31.0,31.0,30.0,35.0,34.0,27.0,22.0,23.0,-17.0,23.0,21.0,
Net Profit,14.0,20.0,28.0,23.0,21.0,27.0,26.0,26.0,2.0,18.0,34.0,35
EPS in Rs,5.43,7.35,9.74,8.1,7.47,9.57,9.11,9.59,0.87,6.5,12.75,13.01
