,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Revenue,8294.0,9981.0,11572.0,13533.0,16425.0,20269.0,29624.0,26052.0,20039.0,19019.0,22702.0,25252
Interest,6075.0,7265.0,8083.0,8965.0,10627.0,12529.0,19811.0,19258.0,12611.0,12528.0,14800.0,17268
Expenses,1499.0,2055.0,2548.0,3429.0,4790.0,6595.0,11834.0,39246.0,14937.0,8058.0,10612.0,11573
Financing Profit,720.0,662.0,940.0,1139.0,1008.0,1144.0,-2021.0,-32452.0,-7509.0,-1568.0,-2710.0,-3589
Financing Margin %,9.0,7.0,8.0,8.0,6.0,6.0,-7.0,-125.0,-37.0,-8.0,-12.0,-14
Other Income,1257.0,1722.0,2048.0,2729.0,4218.0,5293.0,4675.0,11956.0,3107.0,3405.0,4125.0,4704
Depreciation,52.0,64.0,86.0,112.0,173.0,232.0,305.0,342.0,360.0,403.0,433.0,0
Profit before tax,1926.0,2320.0,2902.0,3756.0,5053.0,6205.0,2349.0,-20838.0,-4762.0,1434.0,981.0,1114
Tax %,32.0,31.0,31.0,33.0,34.0,32.0,27.0,21.0,27.0,26.0,25.0,
Net Profit,1301.0,1611.0,1997.0,2530.0,3340.0,4233.0,1709.0,-16433.0,-3489.0,1064.0,736.0,837
EPS in Rs,7.25,8.94,9.56,12.03,14.63,18.38,7.38,-13.09,-1.39,0.42,0.26,0.29
