,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1,1,1,5,5,5,5,5,10,10
Reserves,5,5,6,13,16,17,17,18,13,-42
Borrowings,15,17,16,18,30,31,33,32,33,30
Other Liabilities,3,3,5,7,7,9,10,19,23,14
Total Liabilities,24,26,28,43,58,61,65,74,79,12
Fixed Assets,14,15,16,15,22,27,26,25,25,3
CWIP,0,0,0,7,6,0,0,1,0,0
Investments,0,0,0,0,0,0,0,0,0,0
Other Assets,10,11,12,21,30,33,38,48,53,8
Total Assets,24,26,28,43,58,61,65,74,79,12
