,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2.0,2.0,4.0,200.0,233.0,258.0,288.0,620.0,884.0,364.0,465
Expenses,2.0,2.0,4.0,190.0,223.0,247.0,276.0,589.0,852.0,348.0,442
Operating Profit,-0.0,0.0,-0.0,10.0,11.0,11.0,13.0,30.0,31.0,16.0,22
OPM %,-0.0,0.0,-2.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,5
Other Income,0.0,0.0,0.0,2.0,2.0,3.0,3.0,5.0,13.0,5.0,3
Interest,0.0,0.0,0.0,5.0,5.0,6.0,7.0,7.0,10.0,9.0,13
Depreciation,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5
Profit before tax,-0.0,0.0,0.0,4.0,4.0,5.0,6.0,26.0,32.0,8.0,8
Tax %,0.0,0.0,50.0,34.0,33.0,27.0,25.0,29.0,29.0,26.0,
Net Profit,-0.0,0.0,0.0,3.0,3.0,3.0,5.0,18.0,23.0,6.0,5
EPS in Rs,-0.42,0.0,0.03,8.67,8.89,10.6,14.65,58.31,71.38,18.76,13.32
