,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1.72,4.5,2.07,2.77,3.41,3.64,2.28,1.71,0.64,3.82,5.79
Expenses,1.85,4.33,2.73,2.52,3.40,3.78,2.66,1.79,0.59,3.49,3.94
Operating Profit,-0.13,0.17,-0.66,0.25,0.01,-0.14,-0.38,-0.08,0.05,0.33,1.85
OPM %,-7.56,3.78,-31.88,9.03,0.29,-3.85,-16.67,-4.68,7.81,8.64,31.95
Other Income,0.24,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.73,0.00
Interest,0.0,0.0,0.0,0.01,0.01,0.08,0.01,0.13,0.0,0.06,0.37
Depreciation,0.01,0.03,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.02,0.02
Profit before tax,0.1,0.14,-0.68,0.22,0.00,-0.22,-0.39,-0.21,0.05,0.98,1.46
Tax %,-20.0,57.14,0.0,31.82,,0.0,0.0,-28.57,0.0,16.33,
Net Profit,0.11,0.07,-0.68,0.16,0.03,-0.22,-0.39,-0.26,0.05,0.83,0.95
EPS in Rs,0.09,0.06,-0.55,0.13,0.02,-0.18,-0.31,-0.21,0.04,0.67,0.76
