,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,164.02,398.63,412.28,325.35,151.84,63.6,7.82,1.18,0.00,0.00,0.00,0.0
Expenses,157.45,379.31,397.91,312.78,145.66,62.05,11.7,1.57,0.34,0.18,0.19,0.16
Operating Profit,6.57,19.32,14.37,12.57,6.18,1.55,-3.88,-0.39,-0.34,-0.18,-0.19,-0.16
OPM %,4.01,4.85,3.49,3.86,4.07,2.44,-49.62,-33.05,,,,
Other Income,0.05,0.04,6.69,-0.2,0.01,0.0,0.0,-0.65,0.03,0.00,0.00,0.0
Interest,5.51,16.62,16.42,9.62,6.95,1.26,0.12,0.02,0.00,0.01,0.00,0.0
Depreciation,0.12,0.14,0.19,0.2,0.14,0.14,0.14,0.11,0.10,0.02,0.02,0.03
Profit before tax,0.99,2.6,4.45,2.55,-0.9,0.15,-4.14,-1.17,-0.41,-0.21,-0.21,-0.19
Tax %,33.33,31.92,18.2,11.37,-10.0,-40.0,0.24,0.85,4.88,19.05,19.05,
Net Profit,0.65,1.78,3.36,2.05,-0.99,0.21,-4.13,-1.16,-0.40,-0.17,-0.17,-0.17
EPS in Rs,0.9,2.45,4.63,2.82,-1.39,0.29,-5.68,-1.56,-0.55,-0.23,-0.23,-0.24
