,Dec 2011,Dec 2012,Dec 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2414.0,2647.0,2563.0,3305.0,2838.0,2908.0,2871.0,3128.0,3224.0,2926.0,3278.0,3252.0,3308
Expenses,1612.0,1824.0,2034.0,2672.0,2360.0,2489.0,2363.0,2527.0,2567.0,2327.0,2516.0,2447.0,2477
Operating Profit,802.0,822.0,528.0,633.0,478.0,420.0,508.0,601.0,657.0,598.0,762.0,804.0,832
OPM %,33.0,31.0,21.0,19.0,17.0,14.0,18.0,19.0,20.0,20.0,23.0,25.0,25
Other Income,-177.0,30.0,203.0,149.0,125.0,119.0,70.0,131.0,-262.0,9.0,1401.0,103.0,132
Interest,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,4.0,2.0,2.0,1
Depreciation,20.0,18.0,20.0,25.0,25.0,27.0,38.0,49.0,83.0,79.0,68.0,66.0,68
Profit before tax,605.0,834.0,711.0,756.0,578.0,511.0,540.0,683.0,306.0,525.0,2093.0,839.0,894
Tax %,29.0,33.0,32.0,37.0,35.0,34.0,35.0,35.0,70.0,32.0,19.0,27.0,
Net Profit,429.0,562.0,482.0,476.0,376.0,337.0,351.0,445.0,93.0,358.0,1695.0,611.0,648
EPS in Rs,25.3,33.17,28.43,28.12,22.2,19.88,20.7,26.29,5.5,21.14,100.04,36.05,38.24
