,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,451.0,719.0,1160.0,1326.0,1775.0,1892.0,2027.0,2236.0,2797.0,4769.0,4707.0,5773.0,5046
Expenses,373.0,573.0,951.0,1121.0,1402.0,1478.0,1618.0,1884.0,2226.0,3258.0,3421.0,4292.0,4100
Operating Profit,78.0,145.0,209.0,205.0,372.0,414.0,409.0,352.0,571.0,1511.0,1286.0,1482.0,946
OPM %,17.0,20.0,18.0,15.0,21.0,22.0,20.0,16.0,20.0,32.0,27.0,26.0,19
Other Income,1.0,5.0,9.0,34.0,4.0,32.0,28.0,15.0,5.0,26.0,20.0,16.0,22
Interest,40.0,41.0,64.0,106.0,111.0,97.0,75.0,86.0,88.0,66.0,96.0,146.0,152
Depreciation,18.0,23.0,33.0,61.0,86.0,104.0,121.0,161.0,184.0,197.0,235.0,301.0,328
Profit before tax,22.0,86.0,121.0,72.0,180.0,245.0,241.0,121.0,304.0,1275.0,975.0,1051.0,488
Tax %,0.0,-2.0,20.0,-2.0,19.0,18.0,28.0,22.0,12.0,25.0,23.0,28.0,
Net Profit,22.0,88.0,97.0,74.0,145.0,200.0,173.0,95.0,267.0,956.0,750.0,760.0,361
EPS in Rs,2.83,11.58,12.64,9.47,18.36,3.78,3.27,1.78,5.0,17.82,13.96,14.12,6.71
