,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,58.0,77.0,52.0,58.0,86.0,63.0,96.0,118.0,85.0,45.0,93.0,173.0,209
Expenses,45.0,58.0,37.0,41.0,62.0,58.0,59.0,58.0,37.0,26.0,54.0,118.0,150
Operating Profit,14.0,20.0,15.0,17.0,24.0,5.0,38.0,61.0,48.0,19.0,39.0,55.0,60
OPM %,23.0,25.0,29.0,30.0,28.0,8.0,39.0,51.0,57.0,43.0,42.0,32.0,29
Other Income,3.0,6.0,6.0,3.0,8.0,11.0,12.0,16.0,20.0,14.0,22.0,58.0,49
Interest,17.0,15.0,17.0,16.0,11.0,10.0,27.0,34.0,42.0,45.0,40.0,41.0,42
Depreciation,27.0,24.0,21.0,16.0,13.0,12.0,27.0,34.0,33.0,30.0,27.0,24.0,24
Profit before tax,-27.0,-13.0,-16.0,-12.0,8.0,-6.0,-5.0,8.0,-6.0,-42.0,-6.0,48.0,43
Tax %,-34.0,-5.0,-12.0,-3.0,47.0,121.0,-50.0,19.0,31.0,1.0,75.0,20.0,
Net Profit,-36.0,-14.0,-18.0,-12.0,4.0,2.0,-7.0,7.0,-4.0,-42.0,-1.0,38.0,35
EPS in Rs,-1.5,-0.59,-0.6,-0.43,0.48,-0.35,-0.29,0.16,-0.1,-1.82,-0.23,1.66,1.44
