,Mar 2006,Mar 2007,Mar 2010,Mar 2011,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.00,0.00,0.83,10.94,7.55,5.23,8.15,5.08,10.45,16.97,5.31,6.15
Expenses,8.38,0.24,0.1,16.4,7.08,5.34,7.96,5.68,9.87,14.99,5.1,4.40
Operating Profit,-8.38,-0.24,0.73,-5.46,0.47,-0.11,0.19,-0.6,0.58,1.98,0.21,1.75
OPM %,,,87.95,-49.91,6.23,-2.1,2.33,-11.81,5.55,11.67,3.95,28.46
Other Income,16.97,0.54,0.0,0.0,0.91,0.79,0.97,1.36,0.41,0.65,0.79,0.68
Interest,0.00,0.00,0.1,0.63,0.29,0.06,0.02,0.51,0.0,0.0,0.0,0.02
Depreciation,0.00,0.00,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,-0.01
Profit before tax,8.59,0.30,0.63,-6.09,1.09,0.61,1.13,0.24,0.99,2.63,1.0,2.42
Tax %,10.83,6.67,-1530.16,-1.15,40.37,34.43,26.55,25.0,42.42,15.59,26.0,
Net Profit,7.66,0.28,10.27,-6.16,0.65,0.4,0.83,0.18,0.57,2.21,0.74,1.66
EPS in Rs,,,10.27,-2.05,0.22,0.13,0.28,0.06,0.19,0.74,0.25,0.55
