,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2.66,2.04,2.61,1.04,2.24,2.47,13.12,25.57,6.88,1.06,0.00,0.1,0.10
Expenses,2.67,1.95,2.89,1.04,3.35,2.1,15.04,26.63,9.62,1.2,0.20,0.46,0.96
Operating Profit,-0.01,0.09,-0.28,0.00,-1.11,0.37,-1.92,-1.06,-2.74,-0.14,-0.20,-0.36,-0.86
OPM %,-0.38,4.41,-10.73,0.00,-49.55,14.98,-14.63,-4.15,-39.83,-13.21,,-360.0,-860.00
Other Income,0.01,9.12,1.05,-0.03,0.15,0.12,0.87,0.12,0.46,0.0,0.02,-0.57,0.02
Interest,1.21,0.59,0.77,0.27,0.18,0.19,0.23,0.26,0.02,0.0,0.00,0.18,0.34
Depreciation,0.20,0.20,0.24,0.22,0.2,0.16,0.09,0.08,0.05,0.04,0.03,0.0,0.00
Profit before tax,-1.41,8.42,-0.24,-0.52,-1.34,0.14,-1.37,-1.28,-2.35,-0.18,-0.21,-1.11,-1.18
Tax %,60.99,-6.18,579.17,-346.15,0.0,-357.14,96.35,-82.03,12.77,-16.67,0.00,0.0,
Net Profit,-0.55,8.93,1.15,-2.32,-1.34,0.64,-0.05,-2.33,-2.04,-0.21,-0.21,-1.11,-1.18
EPS in Rs,,,,,-1.28,0.61,-0.05,-2.23,-0.67,-0.07,-0.07,-0.36,-0.39
