,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,6,6,6,6,6,6,26,26,27,27.0
Reserves,49,59,73,68,70,84,53,58,140,158.0
Preference Capital,0,35,45,51,51,51,51,38,8,
Borrowings,150,381,434,470,293,284,252,217,200,180.0
Other Liabilities,151,111,171,196,199,121,176,191,207,152.0
Total Liabilities,356,557,684,740,568,495,506,492,574,518.0
Fixed Assets,69,393,399,385,208,175,185,96,132,129.0
CWIP,0,0,3,25,0,0,0,0,7,8.0
Investments,98,24,30,31,31,38,32,30,31,23.0
Other Assets,189,140,252,300,329,282,290,366,404,358.0
Total Assets,356,557,684,740,568,495,506,492,574,518.0
