,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,3.12,2.12,0.72,0.00,7.53,8.18,1.78,0.00,0.00,0.00,0.00,0.00,0.0
Expenses,3.17,6.91,0.81,0.16,6.7,8.05,1.32,0.14,0.09,0.09,0.10,0.08,0.08
Operating Profit,-0.05,-4.79,-0.09,-0.16,0.83,0.13,0.46,-0.14,-0.09,-0.09,-0.10,-0.08,-0.08
OPM %,-1.6,-225.94,-12.5,,11.02,1.59,25.84,,,,,,
Other Income,0.08,0.77,0.42,0.07,0.02,0.0,0.0,0.00,0.09,0.18,0.18,0.16,0.16
Interest,0.17,0.0,0.01,0.00,0.0,0.06,0.0,0.05,0.03,0.01,0.01,0.00,0.0
Depreciation,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.0
Profit before tax,-0.14,-4.02,0.32,-0.09,0.85,0.07,0.46,-0.19,-0.03,0.08,0.07,0.08,0.08
Tax %,0.0,0.0,0.0,-211.11,0.0,114.29,0.0,26.32,33.33,112.50,28.57,25.00,
Net Profit,-0.14,-4.02,0.32,-0.28,0.85,0.0,0.46,-0.14,-0.03,-0.01,0.05,0.06,-0.11
EPS in Rs,-0.27,-7.7,0.61,-0.54,1.63,0.0,0.88,-0.27,-0.06,-0.02,0.10,0.11,-0.21
