,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,8.7,159.08,1791.02,0.00,0.00,0.00,0.00,0.92,0.00,0.76,3.26,2.53,0.0
Expenses,8.69,159.23,1791.05,0.02,0.13,0.13,0.06,0.93,0.09,0.76,3.13,2.31,0.28
Operating Profit,0.01,-0.15,-0.03,-0.02,-0.13,-0.13,-0.06,-0.01,-0.09,0.00,0.13,0.22,-0.28
OPM %,0.11,-0.09,-0.0,,,,,-1.09,,0.00,3.99,8.7,
Other Income,-0.03,0.03,0.0,0.00,0.00,0.05,0.00,0.0,0.00,0.00,0.0,-1.55,-1.55
Interest,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.0,0.0,0.0
Depreciation,0.07,0.01,0.06,0.05,0.00,0.00,0.00,0.0,0.00,0.00,0.0,0.0,0.0
Profit before tax,-0.09,-0.13,-0.09,-0.07,-0.13,-0.08,-0.06,-0.01,-0.09,0.00,0.13,-1.33,-1.83
Tax %,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.0,0.00,,30.77,3.01,
Net Profit,-0.08,-0.13,-0.08,-0.07,-0.13,-0.08,-0.06,-0.01,-0.09,0.00,0.1,-1.29,-1.83
EPS in Rs,-0.0,-0.0,-0.0,-0.00,-0.00,-0.00,-0.00,-0.0,-0.00,0.00,0.0,-0.02,-0.03
