,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1368.0,1733.0,2011.0,2131.0,2273.0,2871.0,3069.0,3779.0,4558.0,5136
Expenses,1336.0,1696.0,1940.0,2073.0,2153.0,2737.0,2852.0,3507.0,4292.0,4826
Operating Profit,32.0,37.0,71.0,58.0,120.0,134.0,217.0,273.0,266.0,310
OPM %,2.0,2.0,4.0,3.0,5.0,5.0,7.0,7.0,6.0,6
Other Income,4.0,8.0,7.0,8.0,11.0,17.0,21.0,31.0,46.0,45
Interest,14.0,17.0,19.0,28.0,50.0,47.0,55.0,66.0,83.0,90
Depreciation,9.0,10.0,11.0,12.0,59.0,75.0,88.0,119.0,182.0,209
Profit before tax,14.0,19.0,48.0,26.0,23.0,29.0,95.0,118.0,47.0,55
Tax %,46.0,52.0,40.0,-65.0,48.0,94.0,34.0,20.0,-6.0,
Net Profit,7.0,9.0,29.0,42.0,12.0,2.0,63.0,95.0,50.0,58
EPS in Rs,419.34,508.71,1620.57,2080.06,585.46,107.02,1393.11,8.03,4.17,4.89
