,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,0,0,0,0,0,0,24,24,24.0
Reserves,141,137,148,303,291,528,730,1394,1467,1499.0
Preference Capital,12,12,12,0,0,0,0,0,0,
Borrowings,158,210,192,162,429,477,590,815,900,958.0
Other Liabilities,139,162,196,179,239,344,245,361,406,457.0
Total Liabilities,438,509,535,644,959,1349,1566,2594,2797,2937.0
Fixed Assets,67,77,81,83,377,419,517,799,1138,1200.0
CWIP,3,3,2,1,1,5,6,20,25,9.0
Investments,0,0,0,0,0,0,0,0,0,0.0
Other Assets,368,429,453,560,580,924,1043,1775,1633,1729.0
Total Assets,438,509,535,644,959,1349,1566,2594,2797,2937.0
