,2012-06-01,2013-06-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,1829.0,2179.0,2502.0,3679.0,3800.0,3180.0,2861.0,2161.0,1493.0,944.0,29.0,17.0
Expenses,968.0,1292.0,1682.0,2385.0,2652.0,2212.0,2034.0,2072.0,1604.0,998.0,99.0,89.0
Operating Profit,861.0,887.0,820.0,1294.0,1148.0,968.0,826.0,89.0,-111.0,-54.0,-70.0,-71.0
OPM %,47.0,41.0,33.0,35.0,30.0,30.0,29.0,4.0,-7.0,-6.0,-240.0,-409.0
Other Income,-7.0,-1115.0,5.0,28.0,38.0,-493.0,27.0,-3826.0,56.0,-2523.0,195.0,-81.0
Interest,125.0,235.0,261.0,416.0,498.0,570.0,629.0,854.0,788.0,967.0,760.0,695.0
Depreciation,443.0,373.0,364.0,622.0,543.0,263.0,268.0,253.0,248.0,125.0,49.0,43.0
Profit before tax,286.0,-835.0,200.0,284.0,146.0,-358.0,-44.0,-4844.0,-1091.0,-3669.0,-683.0,-891.0
Tax %,15.0,-0.0,-42.0,14.0,-26.0,147.0,-141.0,24.0,16.0,11.0,-4.0,0.0
Net Profit,242.0,-839.0,284.0,245.0,184.0,167.0,-106.0,-3657.0,-915.0,-3264.0,-713.0,-891.0
EPS in Rs,15.02,-52.02,17.58,15.2,11.3,10.15,-6.4,-220.47,-55.15,-196.77,-42.95,-53.72
