,Dec 2011,Dec 2012,Dec 2013,Dec 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,205.15,499.24,588.73,0.92,-1.13,0.67,0.31,-0.30,0.16,0.55,-0.49,0.19,0.0
Expenses,205.58,499.1,588.83,0.23,0.34,0.59,0.56,0.46,0.41,0.71,0.40,0.25,0.26
Operating Profit,-0.43,0.14,-0.1,0.69,-1.47,0.08,-0.25,-0.76,-0.25,-0.16,-0.89,-0.06,-0.26
OPM %,-0.21,0.03,-0.02,75.0,,11.94,-80.65,,-156.25,-29.09,,-31.58,
Other Income,0.05,0.02,0.11,0.02,0.24,0.26,0.15,0.11,0.18,0.07,0.05,0.2,0.46
Interest,0.01,0.01,0.01,0.02,0.13,0.12,0.0,0.00,0.0,0.0,0.00,0.0,0.0
Depreciation,0.08,0.07,0.06,0.13,0.14,0.13,0.13,0.10,0.07,0.05,0.04,0.03,0.04
Profit before tax,-0.47,0.08,-0.06,0.56,-1.50,0.09,-0.23,-0.75,-0.14,-0.14,-0.88,0.11,0.16
Tax %,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,
Net Profit,-0.47,0.08,-0.06,0.56,-1.50,0.09,-0.22,-0.74,-0.15,-0.15,-0.88,0.11,0.16
EPS in Rs,-1.52,0.26,-0.19,1.81,-4.86,0.29,-0.71,-2.40,-0.49,-0.49,-2.85,0.36,0.52
