,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,574.0,703.0,894.0,1097.0,1157.0,1220.0,1589.0,1456.0,1524.0,1090.0,2176.0,2027.0,1688
Expenses,496.0,596.0,761.0,931.0,966.0,1034.0,1363.0,1307.0,1419.0,1008.0,2015.0,1942.0,1618
Operating Profit,78.0,107.0,133.0,165.0,191.0,187.0,226.0,149.0,105.0,82.0,160.0,84.0,70
OPM %,14.0,15.0,15.0,15.0,17.0,15.0,14.0,10.0,7.0,8.0,7.0,4.0,4
Other Income,9.0,2.0,4.0,3.0,4.0,21.0,14.0,13.0,19.0,7.0,19.0,12.0,15
Interest,28.0,32.0,32.0,38.0,41.0,36.0,58.0,27.0,43.0,42.0,42.0,53.0,51
Depreciation,33.0,41.0,50.0,60.0,66.0,86.0,121.0,104.0,88.0,78.0,45.0,37.0,36
Profit before tax,26.0,36.0,55.0,71.0,88.0,85.0,61.0,31.0,-7.0,-31.0,92.0,5.0,-1
Tax %,29.0,13.0,28.0,28.0,28.0,15.0,24.0,32.0,92.0,40.0,27.0,85.0,
Net Profit,19.0,31.0,39.0,51.0,63.0,73.0,46.0,21.0,-1.0,-19.0,68.0,1.0,-0
EPS in Rs,1.38,2.27,2.88,3.77,4.64,5.03,3.22,1.47,-0.04,-1.3,4.7,0.06,-0.03
