,Jun 2006,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,241.0,629.0,731.0,854.0,1005.0,1071.0,1041.0,968.0,1107.0,1242.0,1541.0,1669.0,1736
Expenses,198.0,537.0,610.0,689.0,834.0,914.0,906.0,892.0,983.0,1017.0,1213.0,1381.0,1476
Operating Profit,43.0,93.0,120.0,166.0,171.0,157.0,135.0,77.0,123.0,225.0,328.0,288.0,259
OPM %,18.0,15.0,16.0,19.0,17.0,15.0,13.0,8.0,11.0,18.0,21.0,17.0,15
Other Income,12.0,1.0,2.0,2.0,1.0,4.0,5.0,6.0,2.0,3.0,2.0,1.0,6
Interest,6.0,22.0,19.0,11.0,12.0,6.0,24.0,21.0,26.0,22.0,14.0,25.0,32
Depreciation,6.0,24.0,31.0,47.0,61.0,63.0,68.0,72.0,71.0,73.0,79.0,71.0,76
Profit before tax,43.0,49.0,72.0,110.0,99.0,91.0,48.0,-9.0,29.0,132.0,237.0,193.0,157
Tax %,27.0,12.0,20.0,24.0,17.0,15.0,15.0,69.0,16.0,30.0,35.0,26.0,
Net Profit,31.0,43.0,58.0,83.0,82.0,77.0,41.0,-3.0,24.0,93.0,155.0,142.0,113
EPS in Rs,3.56,4.64,6.29,8.99,8.89,8.36,4.47,-0.31,2.62,10.1,16.8,15.44,12.31
