,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,268.0,274.0,302.0,296.0,324.0,302.0,377.0,349.0,337.0,367
Expenses,226.0,237.0,245.0,243.0,262.0,284.0,314.0,323.0,347.0,412
Operating Profit,42.0,37.0,57.0,53.0,63.0,19.0,63.0,26.0,-10.0,-46
OPM %,16.0,13.0,19.0,18.0,19.0,6.0,17.0,7.0,-3.0,-12
Other Income,8.0,13.0,8.0,1.0,5.0,106.0,7.0,-83.0,8.0,17
Interest,8.0,9.0,8.0,9.0,7.0,11.0,9.0,7.0,9.0,14
Depreciation,10.0,9.0,21.0,17.0,19.0,19.0,20.0,19.0,19.0,21
Profit before tax,32.0,32.0,36.0,28.0,42.0,95.0,41.0,-84.0,-30.0,-64
Tax %,12.0,21.0,24.0,-3.0,32.0,23.0,25.0,-12.0,20.0,
Net Profit,28.0,25.0,27.0,29.0,28.0,73.0,31.0,-94.0,-24.0,-47
EPS in Rs,26.96,24.1,25.84,27.62,26.76,69.71,29.26,-89.69,-22.64,-44.29
