,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,33.0,37.0,28.0,17.0,22.0,16.0,9.0,20.0,12.0,15.0,35.0,39.0,21
Expenses,32.0,37.0,29.0,20.0,28.0,21.0,15.0,24.0,13.0,16.0,34.0,42.0,30
Operating Profit,1.0,-0.0,-1.0,-3.0,-6.0,-5.0,-6.0,-4.0,-1.0,-1.0,1.0,-4.0,-9
OPM %,2.0,-0.0,-3.0,-20.0,-27.0,-30.0,-73.0,-17.0,-11.0,-5.0,3.0,-9.0,-44
Other Income,4.0,1.0,-0.0,2.0,-2.0,0.0,0.0,2.0,20.0,16.0,4.0,4.0,1
Interest,4.0,4.0,5.0,5.0,5.0,4.0,6.0,5.0,2.0,3.0,2.0,2.0,2
Depreciation,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
Profit before tax,-2.0,-7.0,-9.0,-7.0,-15.0,-10.0,-14.0,-7.0,15.0,11.0,2.0,-3.0,-11
Tax %,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,
Net Profit,-2.0,-7.0,-9.0,-7.0,-15.0,-10.0,-14.0,-7.0,15.0,11.0,2.0,-3.0,-11
EPS in Rs,-1.17,-3.88,-5.04,-3.92,-8.36,-5.81,-7.78,-4.04,8.45,6.31,1.2,-1.76,-6.02
