,Dec 2011,Dec 2012,Dec 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,392.0,430.0,1287.0,3244.0,6094.0,8762.0,11248.0,6603.0,6833.0,795.0,1888.0,5048.0,6592
Expenses,285.0,317.0,1140.0,3001.0,5910.0,8425.0,10876.0,6520.0,6726.0,1147.0,2075.0,4870.0,6265
Operating Profit,107.0,113.0,147.0,243.0,184.0,338.0,372.0,83.0,107.0,-352.0,-187.0,178.0,327
OPM %,27.0,26.0,11.0,7.0,3.0,4.0,3.0,1.0,2.0,-44.0,-10.0,4.0,5
Other Income,19.0,9.0,6.0,41.0,-31.0,84.0,6005.0,168.0,76.0,146.0,55.0,62.0,98
Interest,31.0,31.0,34.0,71.0,92.0,132.0,149.0,73.0,101.0,62.0,62.0,89.0,100
Depreciation,14.0,14.0,18.0,41.0,61.0,91.0,137.0,67.0,151.0,148.0,129.0,124.0,124
Profit before tax,81.0,77.0,102.0,171.0,1.0,199.0,6091.0,110.0,-69.0,-416.0,-322.0,27.0,201
Tax %,30.0,35.0,33.0,34.0,6392.0,57.0,-1.0,19.0,74.0,29.0,21.0,61.0,
Net Profit,56.0,50.0,69.0,112.0,-59.0,86.0,6131.0,89.0,-18.0,-295.0,-254.0,10.0,139
EPS in Rs,2.65,2.37,2.51,3.31,-2.13,1.18,161.21,2.29,-0.02,-6.72,-5.18,0.14,2.79
