,Mar 2011,Mar 2012,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,75.41,80.66,174.44,183.26,157.57,195.4,158.14,155.9,152.56,287.8,162.68,76.77
Expenses,72.32,80.05,166.53,176.48,151.29,187.67,149.1,148.13,146.78,274.94,152.17,72.51
Operating Profit,3.09,0.61,7.91,6.78,6.28,7.73,9.04,7.77,5.78,12.86,10.51,4.26
OPM %,4.1,0.76,4.53,3.7,3.99,3.96,5.72,4.98,3.79,4.47,6.46,5.55
Other Income,0.05,0.17,0.23,0.31,0.23,0.13,0.24,0.52,0.12,0.76,0.05,0.35
Interest,0.0,0.0,4.74,4.34,3.92,3.55,3.54,3.61,3.79,4.49,4.29,3.75
Depreciation,2.34,0.67,2.2,2.0,1.63,1.42,1.29,1.17,1.01,0.9,0.99,0.92
Profit before tax,0.8,0.11,1.2,0.75,0.96,2.89,4.45,3.51,1.1,8.23,5.28,-0.06
Tax %,20.0,18.18,-14.17,33.33,30.21,37.37,24.72,25.64,23.64,25.52,27.27,
Net Profit,0.64,0.08,1.36,0.51,0.67,1.81,3.34,2.61,0.84,6.14,3.85,-0.23
EPS in Rs,0.05,0.01,0.11,0.02,0.02,0.04,0.08,0.06,0.02,0.14,0.09,-0.01
