,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,4.23,8.4,10.86,10.93,16.66,19.36,27.41,34.4,42.6,50.47,59.09,59.64
Expenses,0.0,4.03,7.54,10.12,9.94,14.01,16.54,24.77,31.58,39.01,45.17,53.35,53.67
Operating Profit,0.0,0.2,0.86,0.74,0.99,2.65,2.82,2.64,2.82,3.59,5.3,5.74,5.97
OPM %,,4.73,10.24,6.81,9.06,15.91,14.57,9.63,8.2,8.43,10.5,9.71,10.01
Other Income,0.0,0.01,0.02,0.0,0.02,-0.02,0.06,0.38,0.93,1.07,0.55,0.69,0.79
Interest,0.0,0.28,0.29,0.14,0.23,0.26,0.47,0.57,0.39,0.4,0.67,1.12,1.00
Depreciation,0.0,0.31,0.32,0.44,0.38,0.41,0.72,1.1,1.07,1.09,1.38,1.39,1.35
Profit before tax,0.0,-0.38,0.27,0.16,0.4,1.96,1.69,1.35,2.29,3.17,3.8,3.92,4.41
Tax %,,28.95,33.33,37.5,37.5,35.71,28.4,31.11,23.58,26.81,26.05,27.3,
Net Profit,0.0,-0.27,0.18,0.1,0.26,1.26,1.21,0.94,1.75,2.32,2.82,2.86,3.46
EPS in Rs,0.0,-1.08,0.72,0.24,0.63,1.54,1.19,0.92,1.71,2.27,2.76,2.8,3.39
