,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,302.0,260.0,255.0,252.0,266.0,277.0,303.0,489.0,723.0,602
Expenses,262.0,215.0,223.0,232.0,252.0,235.0,238.0,370.0,642.0,559
Operating Profit,39.0,45.0,31.0,20.0,14.0,42.0,66.0,119.0,82.0,43
OPM %,13.0,17.0,12.0,8.0,5.0,15.0,22.0,24.0,11.0,7
Other Income,2.0,2.0,2.0,3.0,1.0,4.0,5.0,4.0,5.0,7
Interest,13.0,8.0,5.0,3.0,1.0,0.0,0.0,3.0,12.0,14
Depreciation,22.0,22.0,22.0,14.0,2.0,2.0,2.0,6.0,32.0,32
Profit before tax,7.0,17.0,7.0,6.0,12.0,44.0,68.0,114.0,42.0,4
Tax %,46.0,36.0,-25.0,33.0,32.0,27.0,25.0,25.0,26.0,
Net Profit,11.0,15.0,19.0,11.0,12.0,37.0,63.0,98.0,43.0,15
EPS in Rs,4.51,6.1,7.66,4.66,4.97,15.16,25.46,39.74,17.57,6.25
