,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,139.62,177.33,151.87,141.7,126.1,42.21,0.35,0.00,0.00,0.00,0.00,0.00,0.0
Expenses,158.43,178.92,185.28,173.21,164.98,81.46,18.7,9.75,2.74,0.00,0.00,0.00,0.0
Operating Profit,-18.81,-1.59,-33.41,-31.51,-38.88,-39.25,-18.35,-9.75,-2.74,0.00,0.00,0.00,0.0
OPM %,-13.47,-0.9,-22.0,-22.24,-30.83,-92.99,-5242.86,,,,,,
Other Income,5.06,5.32,-0.25,-7.33,-87.61,-19.89,6.64,0.42,0.47,0.00,0.00,0.00,0.0
Interest,21.26,18.31,18.83,15.73,13.59,16.86,9.17,4.74,0.05,0.05,0.00,0.00,0.0
Depreciation,18.11,19.16,22.56,13.05,16.76,6.94,4.78,5.89,5.61,3.49,3.47,3.44,3.37
Profit before tax,-53.12,-33.74,-75.05,-67.62,-156.84,-82.94,-25.66,-19.96,-7.93,-3.54,-3.47,-3.44,-3.37
Tax %,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,
Net Profit,-53.12,-33.74,-75.04,-67.62,-156.84,-82.95,-25.66,-19.96,-7.93,-3.54,-3.47,-3.44,-3.37
EPS in Rs,-51.77,-32.88,-73.13,-65.9,-152.85,-80.84,-25.01,-19.45,-7.73,-3.45,-3.38,-3.35,-3.29
