,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2592.0,2138.0,2516.0,3016.0,2953.0,2713.0,3436.0,3689.0,2923.0,2726.0,4643.0,5568.0,5409
Expenses,2460.0,2034.0,2329.0,2643.0,2593.0,2351.0,3216.0,3542.0,2848.0,3228.0,4404.0,5739.0,5559
Operating Profit,131.0,104.0,188.0,373.0,360.0,361.0,220.0,148.0,75.0,-502.0,239.0,-172.0,-149
OPM %,5.0,5.0,7.0,12.0,12.0,13.0,6.0,4.0,3.0,-18.0,5.0,-3.0,-3
Other Income,10.0,-48.0,16.0,-7.0,12.0,45.0,1331.0,79.0,68.0,748.0,119.0,573.0,559
Interest,178.0,226.0,254.0,276.0,293.0,294.0,473.0,327.0,364.0,332.0,161.0,177.0,155
Depreciation,66.0,65.0,68.0,76.0,77.0,72.0,158.0,58.0,75.0,69.0,45.0,52.0,54
Profit before tax,-102.0,-234.0,-118.0,13.0,2.0,42.0,920.0,-158.0,-296.0,-155.0,151.0,172.0,200
Tax %,14.0,4.0,28.0,12.0,280.0,127.0,11.0,27.0,19.0,-32.0,-17.0,0.0,
Net Profit,-87.0,-224.0,-84.0,12.0,-6.0,-11.0,821.0,-115.0,-240.0,-204.0,176.0,172.0,198
EPS in Rs,-5.94,-15.32,-5.98,0.79,-0.53,-0.8,58.06,-8.17,-16.96,-14.41,12.47,11.89,13.73
