,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3,3,3,3,3,3,3,3,3,3,3
Reserves,21,19,20,20,21,21,22,23,24,28,29
Borrowings,4,5,5,9,9,7,5,7,6,6,6
Other Liabilities,21,12,9,13,12,22,28,18,14,20,29
Total Liabilities,49,39,36,45,45,54,58,50,47,57,67
Fixed Assets,12,10,9,11,11,14,14,13,12,13,14
CWIP,0,0,0,0,0,0,0,0,0,0,0
Investments,8,8,8,8,8,8,8,8,8,9,9
Other Assets,28,21,19,25,25,31,35,29,26,35,45
Total Assets,49,39,36,45,45,54,58,50,47,57,67
