,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,9,9,9,9,9,9,9,9,9
Reserves,259,300,353,426,437,451,482,574,599
Borrowings,127,92,104,140,347,338,401,431,597
Other Liabilities,463,478,751,615,490,564,654,852,911
Total Liabilities,859,880,1217,1190,1283,1362,1546,1866,2116
Fixed Assets,408,419,518,549,653,627,711,749,723
CWIP,17,20,34,50,32,47,48,43,179
Investments,69,79,88,81,90,92,102,147,171
Other Assets,365,362,577,510,508,596,685,927,1044
Total Assets,859,880,1217,1190,1283,1362,1546,1866,2116
