,Sep 2012,Sep 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,3048.0,2933.0,1679.0,3952.0,4507.0,3916.0,3790.0,5050.0,5882.0,5426.0,5499.0,6399.0,6499
Expenses,2840.0,2748.0,1595.0,3679.0,4157.0,3510.0,3481.0,4761.0,5537.0,4956.0,5165.0,5926.0,5969
Operating Profit,207.0,186.0,84.0,273.0,349.0,407.0,309.0,289.0,345.0,469.0,335.0,473.0,529
OPM %,7.0,6.0,5.0,7.0,8.0,10.0,8.0,6.0,6.0,9.0,6.0,7.0,8
Other Income,34.0,42.0,30.0,47.0,76.0,93.0,56.0,65.0,31.0,52.0,13.0,12.0,23
Interest,44.0,41.0,23.0,51.0,66.0,58.0,34.0,45.0,61.0,64.0,88.0,91.0,75
Depreciation,55.0,64.0,34.0,83.0,76.0,75.0,81.0,82.0,101.0,101.0,101.0,104.0,104
Profit before tax,141.0,123.0,58.0,188.0,284.0,367.0,251.0,227.0,214.0,356.0,158.0,290.0,374
Tax %,32.0,38.0,33.0,34.0,33.0,32.0,33.0,37.0,30.0,29.0,27.0,29.0,
Net Profit,95.0,76.0,39.0,123.0,190.0,248.0,168.0,144.0,149.0,253.0,115.0,206.0,275
EPS in Rs,12.72,11.1,5.74,16.03,25.13,32.94,21.4,19.42,19.65,33.71,14.8,26.72,35.29
