,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,TTM
Sales,2440.0,2216.0,2591.0,5570.0,4001.0,5320.0,6428.0,8032.0,7908.0,6050.0,6765.0,8753.0,9287
Expenses,2226.0,2173.0,2482.0,5128.0,3638.0,4789.0,5622.0,7031.0,6940.0,5549.0,5823.0,7581.0,7898
Operating Profit,214.0,43.0,109.0,442.0,363.0,531.0,806.0,1001.0,968.0,501.0,942.0,1172.0,1388
OPM %,9.0,2.0,4.0,8.0,9.0,10.0,13.0,12.0,12.0,8.0,14.0,13.0,15
Other Income,2.0,3.0,4.0,-183.0,-49.0,22.0,20.0,39.0,28.0,55.0,32.0,-749.0,-399
Interest,49.0,49.0,63.0,121.0,50.0,59.0,51.0,50.0,52.0,55.0,35.0,23.0,85
Depreciation,113.0,110.0,120.0,238.0,163.0,232.0,268.0,287.0,316.0,306.0,273.0,296.0,321
Profit before tax,55.0,-114.0,-70.0,-100.0,101.0,262.0,507.0,702.0,628.0,195.0,666.0,104.0,584
Tax %,6.0,0.0,-17.0,22.0,24.0,35.0,29.0,29.0,44.0,45.0,41.0,231.0,
Net Profit,51.0,-114.0,-81.0,-78.0,77.0,169.0,358.0,498.0,354.0,106.0,393.0,-136.0,298
EPS in Rs,5.55,-12.36,-8.82,-2.42,2.37,4.47,9.47,13.15,9.33,2.81,10.37,-3.59,7.87
