,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,40.58,39.7,43.17,48.69,48.41,55.04,63.54,73.22,66.35,32.84,44.93,55.05,46.52
Expenses,36.84,35.75,40.04,45.4,44.48,52.33,59.79,71.03,65.95,33.93,44.27,52.98,44.24
Operating Profit,3.74,3.95,3.13,3.29,3.93,2.71,3.75,2.19,0.4,-1.09,0.66,2.07,2.28
OPM %,9.22,9.95,7.25,6.76,8.12,4.92,5.9,2.99,0.6,-3.32,1.47,3.76,4.90
Other Income,0.14,0.33,0.4,0.37,0.54,0.59,0.64,0.76,2.37,0.76,0.82,0.75,0.29
Interest,0.33,0.26,0.22,0.23,0.31,0.33,0.33,0.42,0.46,0.53,0.51,0.99,0.73
Depreciation,2.43,3.16,2.64,2.38,2.53,3.06,3.58,3.45,3.66,2.99,2.68,1.64,1.20
Profit before tax,1.12,0.86,0.67,1.05,1.63,-0.09,0.48,-0.92,-1.35,-3.85,-1.71,0.19,0.64
Tax %,0.0,0.0,22.39,19.05,19.02,0.0,18.75,0.0,0.0,0.0,0.0,0.0,
Net Profit,1.12,0.86,0.52,0.84,1.33,-0.09,0.39,-0.92,-1.35,-3.86,-1.72,0.19,0.64
EPS in Rs,1.42,1.09,0.66,1.07,1.69,-0.11,0.5,-1.17,-1.72,-4.91,-2.19,0.24,0.82
