,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,0.21,0.21,0.22,0.16,0.19,0.31,0.38,0.37,2.04,3.21
Expenses,0.0,0.32,0.29,0.33,0.25,0.19,0.46,0.34,0.31,0.71,0.98
Operating Profit,0.0,-0.11,-0.08,-0.11,-0.09,0.0,-0.15,0.04,0.06,1.33,2.23
OPM %,,-52.38,-38.1,-50.0,-56.25,0.0,-48.39,10.53,16.22,65.2,69.47
Other Income,0.0,0.0,0.0,0.08,0.04,0.19,0.15,0.05,0.28,0.08,0.09
Interest,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.03,0.0,0.00
Depreciation,0.0,0.21,0.2,0.21,0.2,0.17,0.17,0.01,0.0,0.01,0.02
Profit before tax,0.0,-0.32,-0.28,-0.24,-0.25,0.01,-0.17,0.08,0.31,1.4,2.30
Tax %,,3.12,3.57,0.0,4.0,0.0,0.0,25.0,29.03,27.86,
Net Profit,0.0,-0.31,-0.28,-0.23,-0.24,0.01,-0.17,0.07,0.22,1.01,1.63
EPS in Rs,0.0,-62.0,-0.83,-0.69,-0.71,0.03,-0.51,0.21,0.66,3.01,4.85
