,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,3147.0,4540.0,5915.0,7597.0,10069.0,14531.0,15404.0,19382.0,20282.0,21218
Expenses,3001.0,4323.0,5688.0,7215.0,9538.0,13757.0,14524.0,18199.0,19035.0,19920
Operating Profit,146.0,217.0,228.0,382.0,531.0,773.0,880.0,1183.0,1247.0,1297
OPM %,5.0,5.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0,6
Other Income,123.0,180.0,356.0,331.0,366.0,246.0,808.0,831.0,1155.0,1208
Interest,15.0,23.0,35.0,45.0,52.0,41.0,458.0,564.0,581.0,572
Depreciation,5.0,5.0,5.0,5.0,6.0,20.0,23.0,21.0,22.0,23
Profit before tax,248.0,370.0,543.0,664.0,839.0,958.0,1207.0,1430.0,1798.0,1910
Tax %,16.0,19.0,18.0,14.0,18.0,21.0,18.0,22.0,21.0,
Net Profit,337.0,429.0,443.0,570.0,688.0,757.0,992.0,1110.0,1421.0,1479
EPS in Rs,1.62,2.06,2.13,2.73,3.3,3.63,4.76,5.32,6.81,7.09
