,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,660.0,778.0,856.0,1060.0,1038.0,1133.0,1876.0,3023.0,2444
Expenses,514.0,633.0,697.0,827.0,803.0,935.0,1513.0,2194.0,1812
Operating Profit,146.0,145.0,158.0,234.0,235.0,198.0,363.0,829.0,632
OPM %,22.0,19.0,19.0,22.0,23.0,17.0,19.0,27.0,26
Other Income,8.0,4.0,16.0,20.0,20.0,17.0,33.0,64.0,60
Interest,7.0,4.0,3.0,2.0,5.0,6.0,5.0,5.0,3
Depreciation,30.0,24.0,20.0,17.0,35.0,47.0,40.0,48.0,51
Profit before tax,117.0,121.0,151.0,234.0,216.0,162.0,352.0,841.0,637
Tax %,35.0,36.0,37.0,40.0,24.0,26.0,26.0,26.0,
Net Profit,76.0,78.0,95.0,136.0,165.0,120.0,260.0,618.0,459
EPS in Rs,157.74,161.22,31.09,44.43,53.74,39.24,84.67,201.6,149.64
