,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1143.0,1232.0,1099.0,1107.0,1258.0,1279.0,1308.0,1376.0,1477.0,1509.0,1962.0,2368.0,2108
Expenses,930.0,1013.0,946.0,1042.0,1100.0,1060.0,1096.0,1073.0,1199.0,1293.0,1700.0,2060.0,1920
Operating Profit,214.0,220.0,153.0,65.0,159.0,218.0,212.0,303.0,279.0,216.0,262.0,308.0,188
OPM %,19.0,18.0,14.0,6.0,13.0,17.0,16.0,22.0,19.0,14.0,13.0,13.0,9
Other Income,24.0,-3.0,6.0,13.0,20.0,26.0,44.0,62.0,44.0,43.0,116.0,25.0,37
Interest,24.0,24.0,22.0,24.0,29.0,27.0,33.0,31.0,29.0,27.0,13.0,4.0,2
Depreciation,48.0,51.0,54.0,42.0,56.0,51.0,55.0,55.0,62.0,61.0,64.0,76.0,71
Profit before tax,165.0,142.0,83.0,12.0,93.0,167.0,168.0,278.0,231.0,170.0,300.0,253.0,152
Tax %,31.0,36.0,32.0,92.0,39.0,25.0,29.0,31.0,9.0,17.0,18.0,25.0,
Net Profit,115.0,90.0,57.0,1.0,56.0,125.0,119.0,192.0,211.0,141.0,246.0,191.0,115
EPS in Rs,8.06,6.17,3.81,-0.36,3.55,8.96,8.6,14.06,14.99,9.96,17.87,13.72,8.21
