,Jun 2012,Jun 2013,Jun 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2738.0,1869.0,2111.0,1587.0,855.0,259.0,281.0,377.0,407.0,712.0,991.0,1015.0,694
Expenses,2710.0,1826.0,2105.0,1833.0,864.0,288.0,276.0,362.0,401.0,700.0,976.0,1030.0,695
Operating Profit,28.0,43.0,6.0,-246.0,-9.0,-29.0,5.0,14.0,6.0,12.0,15.0,-15.0,-0
OPM %,1.0,2.0,0.0,-16.0,-1.0,-11.0,2.0,4.0,1.0,2.0,2.0,-1.0,-0
Other Income,23.0,14.0,12.0,-25.0,-19.0,21.0,-23.0,18.0,-35.0,24.0,20.0,22.0,-14
Interest,2.0,2.0,3.0,3.0,1.0,0.0,2.0,3.0,4.0,2.0,1.0,1.0,2
Depreciation,41.0,36.0,38.0,24.0,28.0,20.0,17.0,18.0,21.0,23.0,20.0,25.0,15
Profit before tax,7.0,19.0,-23.0,-298.0,-57.0,-28.0,-37.0,12.0,-54.0,12.0,13.0,-19.0,-31
Tax %,148.0,75.0,-18.0,-3.0,-17.0,-36.0,-22.0,24.0,-4.0,53.0,50.0,-14.0,
Net Profit,-4.0,5.0,-28.0,-306.0,-67.0,-38.0,-45.0,9.0,-56.0,6.0,7.0,-22.0,-33
EPS in Rs,-0.41,0.23,-1.24,-13.49,-3.01,-1.57,-1.57,0.27,-2.16,0.5,0.23,-0.89,-1.40
