,Mar 2011,Jun 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales,38.29,43.39,30.74,46.08,58.7,33.77,44.39,37.78,25.24,16.83,7.45,13.83,8.74
Expenses,41.8,49.25,28.08,37.89,47.68,27.55,35.8,35.69,38.84,22.28,8.67,14.63,10.82
Operating Profit,-3.51,-5.86,2.66,8.19,11.02,6.22,8.59,2.09,-13.6,-5.45,-1.22,-0.8,-2.08
OPM %,-9.17,-13.51,8.65,17.77,18.77,18.42,19.35,5.53,-53.88,-32.38,-16.38,-5.78,-23.80
Other Income,0.74,2.23,-0.06,0.21,-0.56,-0.53,0.66,0.34,0.92,2.15,3.65,0.46,0.16
Interest,5.13,9.18,5.05,6.86,6.98,6.04,6.18,4.29,5.18,2.09,3.31,0.58,-2.05
Depreciation,3.05,3.35,1.04,1.39,1.77,1.71,2.08,2.13,2.17,2.14,1.88,1.7,1.58
Profit before tax,-10.95,-16.16,-3.49,0.15,1.71,-2.06,0.99,-3.99,-20.03,-7.53,-2.76,-2.62,-1.45
Tax %,21.37,0.0,0.0,0.0,38.01,0.0,-35.35,-2.01,13.38,11.69,3.26,0.0,
Net Profit,-8.61,-16.16,-3.49,0.15,1.05,-2.06,1.34,-4.08,-17.35,-6.65,-2.67,-2.61,-1.45
EPS in Rs,-6.85,-12.21,-2.51,0.11,0.75,-1.48,0.96,-2.93,-8.82,-3.38,-1.36,-1.33,-0.73
