,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,16.85,16.85,16.85,16.85,16.85,16.85,16.85,16.85,16.85,16.85
Reserves,16.72,13.46,19.27,19.6,19.69,19.69,19.94,20.73,19.68,18.62
Borrowings,11.15,7.81,4.25,12.55,13.03,5.47,27.85,46.65,41.53,29.26
Other Liabilities,140.93,174.82,188.13,193.38,215.86,234.1,238.01,275.32,311.2,348.38
Total Liabilities,185.65,212.94,228.5,242.38,265.43,276.11,302.65,359.55,389.26,413.11
Fixed Assets,2.14,2.13,2.15,2.15,2.14,2.13,2.11,2.11,2.13,2.23
CWIP,165.38,183.11,202.54,214.42,241.4,253.36,274.19,323.46,358.68,382.37
Investments,0.1,0.29,0.0,0.28,0.28,0.28,0.28,0.28,0.28,0.28
Other Assets,18.03,27.41,23.81,25.53,21.61,20.34,26.07,33.7,28.17,28.23
Total Assets,185.65,212.94,228.5,242.38,265.43,276.11,302.65,359.55,389.26,413.11
