,Dec 2011,Dec 2012,Dec 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,8166.0,8659.0,8757.0,12086.0,9701.0,10435.0,11690.0,12085.0,9842.0,9718.0,11782.0,14929.0,16012
Expenses,6654.0,7310.0,7468.0,10104.0,7823.0,8473.0,9597.0,9931.0,8358.0,8555.0,10319.0,13120.0,14126
Operating Profit,1512.0,1350.0,1289.0,1981.0,1878.0,1963.0,2093.0,2154.0,1483.0,1163.0,1462.0,1810.0,1885
OPM %,19.0,16.0,15.0,16.0,19.0,19.0,18.0,18.0,15.0,12.0,12.0,12.0,12
Other Income,320.0,369.0,353.0,537.0,623.0,912.0,418.0,600.0,-105.0,-241.0,391.0,471.0,1394
Interest,0.0,6.0,0.0,14.0,13.0,27.0,3.0,13.0,10.0,14.0,29.0,12.0,50
Depreciation,258.0,367.0,384.0,548.0,386.0,456.0,467.0,402.0,383.0,341.0,324.0,386.0,422
Profit before tax,1574.0,1346.0,1257.0,1956.0,2102.0,2391.0,2041.0,2339.0,985.0,567.0,1500.0,1882.0,2807
Tax %,29.0,29.0,30.0,32.0,27.0,27.0,33.0,32.0,34.0,15.0,19.0,24.0,
Net Profit,1123.0,958.0,885.0,1338.0,1531.0,1741.0,1371.0,1598.0,650.0,482.0,1217.0,1424.0,2126
EPS in Rs,357.56,305.2,281.76,426.03,487.72,570.47,449.14,541.81,220.32,163.59,412.7,482.99,720.76
