,Jun 2012,Jun 2013,Jun 2014,Jun 2015,Jun 2016,Jun 2017,Jun 2018,Jun 2019,Jun 2020,Jun 2021,Jun 2022,Jun 2023,TTM
Sales,562.0,490.0,545.0,570.0,570.0,652.0,793.0,927.0,641.0,811.0,991.0,1077.0,1068
Expenses,451.0,451.0,494.0,510.0,524.0,594.0,692.0,791.0,580.0,691.0,812.0,926.0,928
Operating Profit,111.0,39.0,51.0,60.0,46.0,58.0,101.0,136.0,61.0,120.0,179.0,151.0,140
OPM %,20.0,8.0,9.0,11.0,8.0,9.0,13.0,15.0,10.0,15.0,18.0,14.0,13
Other Income,10.0,8.0,-5.0,12.0,9.0,0.0,0.0,14.0,15.0,8.0,9.0,5.0,6
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
Depreciation,23.0,27.0,27.0,26.0,24.0,28.0,28.0,28.0,34.0,38.0,36.0,39.0,40
Profit before tax,99.0,20.0,20.0,46.0,31.0,30.0,73.0,122.0,40.0,89.0,153.0,118.0,105
Tax %,31.0,24.0,13.0,28.0,32.0,20.0,28.0,29.0,20.0,26.0,25.0,25.0,
Net Profit,68.0,15.0,17.0,34.0,21.0,24.0,52.0,86.0,32.0,67.0,114.0,88.0,73
EPS in Rs,31.12,6.76,7.77,15.25,9.44,11.09,23.8,39.27,14.79,30.3,51.92,39.9,33.35
