,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2710.0,3645.0,5882.0,11526.0,15168.0,16696.0,19260.0,22232.0,30163.0,29729
Expenses,1002.0,1156.0,2478.0,7539.0,9850.0,10934.0,13966.0,16694.0,19972.0,20098
Operating Profit,1708.0,2489.0,3404.0,3987.0,5317.0,5762.0,5293.0,5538.0,10191.0,9631
OPM %,63.0,68.0,58.0,35.0,35.0,35.0,27.0,25.0,34.0,32
Other Income,-39.0,24.0,4.0,177.0,230.0,254.0,282.0,351.0,311.0,3033
Interest,1112.0,1612.0,2299.0,3024.0,4109.0,4634.0,3916.0,3480.0,4722.0,6243
Depreciation,37.0,33.0,43.0,44.0,58.0,103.0,114.0,122.0,145.0,169
Profit before tax,519.0,869.0,1066.0,1096.0,1381.0,1280.0,1546.0,2287.0,5635.0,6252
Tax %,40.0,40.0,35.0,37.0,41.0,32.0,28.0,27.0,14.0,
Net Profit,309.0,524.0,691.0,693.0,811.0,866.0,1106.0,1660.0,4824.0,5311
EPS in Rs,4.08,6.58,4.3,3.15,3.96,3.81,4.66,7.06,19.83,21.26
