,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,27.6,22.79,27.22,36.13,35.08,53.55,48.96,51.54,39.5,20.19,25.97,3.06,-19.92
Expenses,19.71,8.85,6.79,15.26,9.39,11.42,9.46,5.97,92.7,44.49,2.23,33.19,33.27
Operating Profit,7.89,13.94,20.43,20.87,25.69,42.13,39.5,45.57,-53.2,-24.3,23.74,-30.13,-53.19
OPM %,28.59,61.17,75.06,57.76,73.23,78.67,80.68,88.42,-134.68,-120.36,91.41,-984.64,267.02
Other Income,29.7,15.74,0.27,9.74,1.1,13.38,3.3,4.08,57.41,78.72,0.86,53.52,53.88
Interest,28.42,24.32,26.93,32.27,44.03,70.31,91.84,110.1,58.66,10.59,34.15,10.18,4.31
Depreciation,0.16,0.14,0.12,0.19,0.11,0.09,0.07,0.06,0.05,0.04,0.02,0.01,0.00
Profit before tax,9.01,5.22,-6.35,-1.85,-17.35,-14.89,-49.11,-60.51,-54.5,43.79,-9.57,13.2,-3.62
Tax %,35.07,15.52,-33.07,-125.95,8.65,0.0,0.0,56.07,-40.06,-15.37,-51.41,-29.7,
Net Profit,5.85,4.41,-8.45,-4.2,-15.85,-14.9,-49.11,-26.58,-76.33,50.52,-14.5,17.12,6.65
EPS in Rs,5.34,4.03,-7.71,-3.83,-14.47,-13.6,-44.82,-24.26,-69.67,46.11,-13.23,15.63,6.08
