,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,34.0,20.0,50.0,18.0,34.0,17.0,39.0,55.0,53.0,57.0
Expenses,33.0,19.0,44.0,17.0,29.0,11.0,37.0,55.0,77.0,56.0
Operating Profit,1.0,2.0,6.0,1.0,5.0,5.0,2.0,-0.0,-25.0,1.0
OPM %,4.0,8.0,13.0,6.0,16.0,33.0,6.0,-1.0,-47.0,2.0
Other Income,2.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,1.0,0.0
Interest,4.0,1.0,5.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0
Depreciation,1.0,1.0,1.0,1.0,5.0,1.0,3.0,3.0,1.0,0.0
Profit before tax,-2.0,0.0,1.0,1.0,1.0,1.0,-1.0,-3.0,-26.0,0.0
Tax %,50.0,-171.0,-10.0,95.0,82.0,99.0,150.0,3.0,1.0,-38.0
Net Profit,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,-3.0,-26.0,0.0
EPS in Rs,-0.47,0.12,0.58,0.02,0.11,0.01,0.32,-2.07,-16.29,0.11
