,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,138.0,119.0,101.0,96.0,99.0,73.0,163.0,179.0,219.0,248
Expenses,115.0,99.0,83.0,82.0,84.0,59.0,128.0,137.0,161.0,182
Operating Profit,23.0,20.0,18.0,13.0,15.0,14.0,35.0,42.0,59.0,66
OPM %,17.0,16.0,17.0,14.0,15.0,20.0,21.0,24.0,27.0,27
Other Income,-2.0,1.0,-0.0,3.0,2.0,2.0,5.0,5.0,7.0,10
Interest,8.0,5.0,3.0,3.0,3.0,6.0,13.0,15.0,16.0,15
Depreciation,4.0,4.0,6.0,5.0,6.0,7.0,14.0,15.0,17.0,17
Profit before tax,9.0,11.0,8.0,8.0,8.0,2.0,12.0,17.0,34.0,45
Tax %,16.0,46.0,24.0,24.0,22.0,29.0,65.0,25.0,23.0,
Net Profit,8.0,6.0,6.0,6.0,6.0,2.0,4.0,13.0,26.0,35
EPS in Rs,7.3,5.52,4.92,4.79,4.56,1.31,3.32,9.78,19.29,25.93
