,Jun 2012,Jun 2013,Jun 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,39.0,49.0,134.0,238.0,359.0,615.0,783.0,814.0,771.0,776.0,843.0,917.0,963
Expenses,35.0,43.0,120.0,205.0,309.0,533.0,665.0,696.0,658.0,668.0,738.0,824.0,867
Operating Profit,4.0,6.0,13.0,33.0,49.0,82.0,118.0,118.0,112.0,108.0,105.0,93.0,96
OPM %,11.0,12.0,10.0,14.0,14.0,13.0,15.0,14.0,15.0,14.0,12.0,10.0,10
Other Income,0.0,1.0,0.0,2.0,1.0,4.0,3.0,5.0,4.0,5.0,1.0,-182.0,-182
Interest,0.0,1.0,3.0,6.0,9.0,10.0,16.0,19.0,16.0,13.0,12.0,11.0,14
Depreciation,1.0,1.0,2.0,3.0,3.0,4.0,5.0,7.0,13.0,13.0,11.0,14.0,16
Profit before tax,3.0,4.0,8.0,26.0,39.0,71.0,99.0,97.0,87.0,87.0,83.0,-114.0,-116
Tax %,8.0,17.0,16.0,14.0,21.0,25.0,31.0,21.0,19.0,18.0,16.0,-11.0,
Net Profit,3.0,4.0,6.0,22.0,31.0,53.0,68.0,77.0,71.0,71.0,70.0,-127.0,-128
EPS in Rs,1.59,0.53,0.77,2.54,3.31,5.63,7.1,7.98,7.32,7.38,7.3,-13.14,-13.25
