,Mar 2011,Mar 2012,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,149.27,162.81,334.41,238.79,331.86,365.21,403.16,328.01,161.55,111.43,91.25
Expenses,142.72,160.67,321.67,225.69,318.05,352.77,390.67,341.57,195.38,114.38,96.50
Operating Profit,6.55,2.14,12.74,13.1,13.81,12.44,12.49,-13.56,-33.83,-2.95,-5.25
OPM %,4.39,1.31,3.81,5.49,4.16,3.41,3.1,-4.13,-20.94,-2.65,-5.75
Other Income,0.05,9.32,0.55,0.24,0.44,1.05,0.05,1.97,0.89,11.25,10.36
Interest,2.87,4.49,4.43,4.77,4.9,4.1,4.78,5.09,6.34,6.3,6.26
Depreciation,1.43,2.38,2.66,2.69,2.3,1.93,1.9,1.83,1.32,1.34,1.90
Profit before tax,2.3,4.59,6.2,5.88,7.05,7.46,5.86,-18.51,-40.6,0.66,-3.05
Tax %,18.7,21.35,25.48,22.96,24.11,20.24,29.86,25.28,28.67,115.15,
Net Profit,1.87,3.61,4.62,4.52,5.34,5.95,4.11,-13.83,-28.96,-0.09,-3.38
EPS in Rs,62.33,120.33,51.33,50.22,2.61,2.91,2.01,-6.77,-14.18,-0.04,-1.66
