,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,116.0,114.0,91.0,124.0,133.0,87.0,128.0,207.0,181.0,171
Expenses,0.0,99.0,106.0,80.0,105.0,116.0,87.0,114.0,133.0,148.0,155
Operating Profit,0.0,17.0,7.0,11.0,19.0,18.0,1.0,13.0,74.0,33.0,16
OPM %,,15.0,7.0,12.0,15.0,13.0,1.0,10.0,36.0,18.0,10
Other Income,0.0,-0.0,0.0,0.0,1.0,1.0,2.0,-9.0,5.0,7.0,8
Interest,0.0,3.0,3.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0
Depreciation,0.0,5.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3
Profit before tax,0.0,9.0,2.0,8.0,16.0,15.0,-0.0,1.0,76.0,37.0,20
Tax %,,40.0,33.0,33.0,35.0,29.0,67.0,-104.0,26.0,27.0,
Net Profit,0.0,5.0,1.0,5.0,10.0,10.0,-0.0,3.0,57.0,27.0,14
EPS in Rs,0.0,106.4,0.05,0.24,0.47,0.47,-0.0,0.13,2.56,1.26,0.67
