,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,31.85,32.83,27.65,27.98,19.72,23.96,21.37,11.97,16.9,2.36,12.68,10.19,7.16
Expenses,31.29,32.25,27.11,28.24,20.23,24.85,21.25,12.86,16.99,2.65,12.51,10.93,7.87
Operating Profit,0.56,0.58,0.54,-0.26,-0.51,-0.89,0.12,-0.89,-0.09,-0.29,0.17,-0.74,-0.71
OPM %,1.76,1.77,1.95,-0.93,-2.59,-3.71,0.56,-7.44,-0.53,-12.29,1.34,-7.26,-9.92
Other Income,0.07,0.07,0.05,0.13,0.41,1.11,0.09,2.77,0.13,0.13,0.15,0.04,0.04
Interest,0.01,0.01,0.02,0.02,0.01,0.01,0.03,0.01,0.08,0.07,0.0,0.06,0.16
Depreciation,0.54,0.54,0.53,0.52,0.49,0.2,0.15,0.15,0.15,0.15,0.2,0.21,0.20
Profit before tax,0.08,0.1,0.04,-0.67,-0.6,0.01,0.03,1.72,-0.19,-0.38,0.12,-0.97,-1.03
Tax %,37.5,120.0,25.0,4.48,11.67,400.0,2366.67,40.7,268.42,23.68,25.0,-3.09,
Net Profit,0.06,-0.03,0.02,-0.64,-0.53,-0.04,-0.69,1.02,0.32,-0.29,0.08,-1.0,-1.07
EPS in Rs,0.07,-0.03,0.02,-0.71,-0.59,-0.04,-0.77,1.13,0.36,-0.32,0.09,-1.11,-1.18
