,Jun 2012,Jun 2013,Jun 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,27.0,171.0,522.0,431.0,162.0,105.0,83.0,99.0,52.0,73.0,79.0,59.0,58
Expenses,24.0,151.0,467.0,395.0,155.0,96.0,62.0,79.0,44.0,72.0,69.0,48.0,49
Operating Profit,3.0,20.0,56.0,37.0,7.0,8.0,21.0,19.0,8.0,1.0,10.0,10.0,9
OPM %,12.0,12.0,11.0,8.0,5.0,8.0,25.0,20.0,16.0,1.0,13.0,17.0,16
Other Income,0.0,1.0,3.0,2.0,1.0,-159.0,-123.0,-105.0,-20.0,1.0,51.0,108.0,264
Interest,2.0,17.0,32.0,44.0,43.0,58.0,64.0,72.0,76.0,74.0,58.0,79.0,91
Depreciation,1.0,4.0,26.0,21.0,20.0,27.0,27.0,27.0,27.0,27.0,28.0,28.0,28
Profit before tax,0.0,0.0,1.0,-27.0,-55.0,-235.0,-193.0,-185.0,-115.0,-99.0,-24.0,12.0,154
Tax %,50.0,-30.0,-8.0,32.0,26.0,10.0,5.0,5.0,0.0,0.0,-1.0,0.0,
Net Profit,0.0,0.0,1.0,-18.0,-41.0,-211.0,-183.0,-176.0,-115.0,-99.0,-25.0,12.0,154
EPS in Rs,0.0,0.02,0.09,-1.58,-3.55,-18.18,-15.79,-15.16,-9.89,-8.53,-2.12,1.01,13.25
