,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,199.0,250.0,303.0,326.0,296.0,310.0,313.0,358.0,360.0,492.0,478.0,551.0,578
Expenses,178.0,217.0,260.0,294.0,266.0,274.0,283.0,312.0,313.0,410.0,390.0,499.0,523
Operating Profit,21.0,34.0,43.0,31.0,30.0,36.0,31.0,46.0,47.0,82.0,87.0,52.0,55
OPM %,11.0,13.0,14.0,10.0,10.0,12.0,10.0,13.0,13.0,17.0,18.0,9.0,10
Other Income,6.0,2.0,2.0,-48.0,1.0,11.0,9.0,3.0,-0.0,18.0,11.0,3.0,7
Interest,10.0,12.0,14.0,13.0,13.0,14.0,9.0,9.0,9.0,6.0,5.0,6.0,8
Depreciation,12.0,12.0,13.0,10.0,8.0,8.0,9.0,9.0,10.0,10.0,11.0,13.0,12
Profit before tax,5.0,11.0,17.0,-39.0,11.0,25.0,23.0,32.0,28.0,83.0,82.0,36.0,42
Tax %,0.0,0.0,0.0,0.0,0.0,20.0,10.0,24.0,26.0,26.0,25.0,24.0,
Net Profit,5.0,11.0,17.0,-39.0,11.0,20.0,20.0,24.0,21.0,62.0,61.0,27.0,32
EPS in Rs,1.37,2.85,4.4,-9.52,2.48,4.6,4.74,5.55,4.86,14.24,12.66,5.65,6.54
