,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,71.0,99.0,104.0,90.0,124.0,155.0,165.0,168.0,173.0,233.0,313.0,363
Expenses,73.0,103.0,109.0,95.0,132.0,160.0,172.0,177.0,182.0,242.0,330.0,374
Operating Profit,-3.0,-4.0,-5.0,-5.0,-7.0,-5.0,-7.0,-9.0,-9.0,-9.0,-16.0,-12
OPM %,-4.0,-4.0,-5.0,-6.0,-6.0,-3.0,-4.0,-5.0,-5.0,-4.0,-5.0,-3
Other Income,3.0,5.0,7.0,6.0,9.0,12.0,16.0,19.0,17.0,18.0,31.0,30
Interest,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2
Depreciation,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
Profit before tax,0.0,1.0,1.0,0.0,1.0,5.0,7.0,7.0,5.0,7.0,11.0,15
Tax %,35.0,31.0,35.0,30.0,32.0,34.0,30.0,26.0,29.0,26.0,25.0,
Net Profit,0.0,0.0,0.0,0.0,1.0,4.0,5.0,5.0,4.0,5.0,8.0,11
EPS in Rs,10.0,0.34,0.33,0.3,0.51,0.29,0.4,0.43,0.3,0.42,0.68,0.92
