,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,1,1,1,1,6,13,13,13,13,13,13.0
Reserves,2,2,2,3,3,22,21,26,29,34,42,48.0
Preference Capital,0,0,0,0,0,0,0,0,0,0,0,
Borrowings,2,4,3,2,4,2,6,11,11,15,19,25.0
Other Liabilities,7,11,12,13,17,16,13,15,17,21,21,23.0
Total Liabilities,11,17,18,18,25,46,52,65,69,82,95,109.0
Fixed Assets,2,2,3,3,5,6,7,7,7,8,8,8.0
CWIP,0,0,0,0,0,0,0,0,0,0,0,0.0
Investments,0,0,0,0,0,0,0,15,0,0,0,18.0
Other Assets,8,15,16,15,20,40,45,43,62,75,87,82.0
Total Assets,11,17,18,18,25,46,52,65,69,82,95,109.0
