,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,261.0,260.0,299.0,480.0,570.0,489.0,502.0,880.0,626.0,647
Expenses,300.0,525.0,306.0,487.0,569.0,545.0,486.0,763.0,622.0,642
Operating Profit,-39.0,-265.0,-7.0,-7.0,1.0,-56.0,16.0,117.0,4.0,5
OPM %,-15.0,-102.0,-2.0,-1.0,0.0,-11.0,3.0,13.0,1.0,1
Other Income,-36.0,496.0,82.0,142.0,7.0,93.0,41.0,6.0,3.0,0
Interest,70.0,23.0,14.0,0.0,0.0,0.0,2.0,2.0,3.0,4
Depreciation,39.0,18.0,14.0,14.0,13.0,13.0,13.0,11.0,9.0,9
Profit before tax,-184.0,189.0,47.0,121.0,-6.0,24.0,42.0,109.0,-5.0,-7
Tax %,27.0,34.0,22.0,70.0,232.0,120.0,231.0,25.0,29.0,
Net Profit,-140.0,121.0,36.0,36.0,8.0,-5.0,-56.0,82.0,-3.0,-5
EPS in Rs,-70.95,61.09,18.43,17.99,3.8,-2.35,-28.19,41.47,-1.62,-2.53
