,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,34.0,45.0,51.0,67.0,54.0,61.0,98.0,89.0,122.0,121.0,140.0,141
Expenses,32.0,43.0,48.0,63.0,50.0,58.0,95.0,86.0,117.0,114.0,131.0,129
Operating Profit,1.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,5.0,7.0,10.0,12
OPM %,4.0,5.0,6.0,5.0,7.0,6.0,3.0,3.0,4.0,6.0,7.0,9
Other Income,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,4.0,2
Interest,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1
Depreciation,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3
Profit before tax,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,6.0,10.0,11
Tax %,40.0,34.0,28.0,40.0,4.0,35.0,28.0,26.0,30.0,26.0,28.0,
Net Profit,0.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,5.0,7.0,8
EPS in Rs,0.21,0.25,0.25,0.35,0.25,0.15,0.19,0.2,0.31,0.58,0.87,0.93
