,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1,1,2,2,3,4,4,4,4,17,17,8
Reserves,4,7,12,13,13,23,24,26,28,20,27,31
Borrowings,6,8,8,14,19,13,14,14,15,13,10,8
Other Liabilities,8,14,14,17,13,20,35,32,28,28,34,47
Total Liabilities,18,31,36,46,48,59,76,75,76,77,87,102
Fixed Assets,4,8,8,7,7,7,12,13,15,18,22,21
CWIP,0,0,0,0,3,4,1,2,0,0,0,0
Investments,1,0,1,1,0,0,0,0,1,0,0,0
Other Assets,14,23,27,38,39,48,63,60,59,59,66,81
Total Assets,18,31,36,46,48,59,76,75,76,77,87,102
