,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,29.43,31.21,30.39,34.29,7.88,5.64,4.68,0.82,0.68,1.26,1.78,1.78,2.10
Expenses,28.11,31.28,30.75,34.45,7.75,6.39,4.77,1.88,1.33,1.72,2.55,2.39,2.68
Operating Profit,1.32,-0.07,-0.36,-0.16,0.13,-0.75,-0.09,-1.06,-0.65,-0.46,-0.77,-0.61,-0.58
OPM %,4.49,-0.22,-1.18,-0.47,1.65,-13.3,-1.92,-129.27,-95.59,-36.51,-43.26,-34.27,-27.62
Other Income,0.37,1.91,2.35,1.8,0.3,2.57,0.9,0.31,3.81,0.65,1.10,1.14,0.98
Interest,0.74,0.8,1.02,0.95,0.95,0.4,0.3,0.13,0.04,0.04,0.19,0.36,0.33
Depreciation,0.75,0.8,0.78,0.49,0.42,0.45,0.41,0.3,0.3,0.13,0.14,0.11,0.11
Profit before tax,0.2,0.24,0.19,0.2,-0.94,0.97,0.1,-1.18,2.82,0.02,0.00,0.06,-0.04
Tax %,20.0,8.33,36.84,-150.0,-8.51,3.09,20.0,16.1,-4.61,150.0,,0.0,
Net Profit,0.16,0.22,0.12,0.5,-1.03,0.95,0.08,-1.0,2.95,-0.01,-0.02,0.05,-0.03
EPS in Rs,0.29,0.4,0.22,0.91,-1.87,1.73,0.15,-1.82,5.36,-0.02,-0.04,0.09,-0.05
