,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,8,8,8,11,15,31,31,31,31,31
Reserves,27,28,32,39,62,49,26,25,33,39
Borrowings,58,65,55,47,36,50,65,110,138,140
Other Liabilities,33,34,27,21,68,58,54,55,72,64
Total Liabilities,126,135,122,118,181,188,176,222,274,273
Fixed Assets,10,9,8,8,9,8,7,7,7,7
CWIP,0,0,0,0,0,0,0,0,1,0
Investments,13,20,17,22,26,22,22,20,14,14
Other Assets,103,106,97,88,147,158,146,195,252,252
Total Assets,126,135,122,118,181,188,176,222,274,273
