,Sep 2011,Sep 2012,Sep 2013,Sep 2014,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,9752.0,11964.0,12248.0,13329.0,20179.0,13412.0,14954.0,16062.0,16237.0,16162.0,19317.0,23008.0,24144
Expenses,8942.0,10692.0,10468.0,11384.0,15743.0,10763.0,12665.0,13744.0,13855.0,13208.0,17256.0,20604.0,20442
Operating Profit,810.0,1272.0,1780.0,1945.0,4437.0,2649.0,2288.0,2317.0,2382.0,2954.0,2061.0,2404.0,3702
OPM %,8.0,11.0,15.0,15.0,22.0,20.0,15.0,14.0,15.0,18.0,11.0,10.0,15
Other Income,429.0,32.0,25.0,63.0,317.0,327.0,330.0,416.0,335.0,205.0,315.0,245.0,287
Interest,98.0,159.0,196.0,232.0,361.0,257.0,259.0,273.0,301.0,282.0,263.0,326.0,348
Depreciation,248.0,302.0,374.0,424.0,737.0,611.0,707.0,808.0,982.0,1141.0,1205.0,1253.0,1330
Profit before tax,893.0,843.0,1235.0,1353.0,3656.0,2109.0,1653.0,1652.0,1434.0,1737.0,908.0,1070.0,2310
Tax %,31.0,31.0,35.0,33.0,31.0,30.0,32.0,32.0,1.0,26.0,26.0,28.0,
Net Profit,619.0,579.0,809.0,908.0,2509.0,1486.0,1132.0,1131.0,1423.0,1277.0,669.0,769.0,1691
EPS in Rs,1458.98,1366.16,1906.58,2141.71,5916.93,3504.33,2668.2,2665.82,3354.22,3011.15,1577.96,1813.09,3986.94
