,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,2.0,5.0,6.0,8.0,14.0,8.0,15.0,12
Expenses,2.0,5.0,9.0,11.0,11.0,11.0,23.0,31.0,27
Operating Profit,-2.0,-3.0,-4.0,-5.0,-3.0,4.0,-15.0,-16.0,-15
OPM %,-8150.0,-148.0,-65.0,-82.0,-34.0,25.0,-181.0,-110.0,-132
Other Income,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Depreciation,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2
Profit before tax,-2.0,-3.0,-3.0,-5.0,-2.0,4.0,-13.0,-16.0,-16
Tax %,0.0,-0.0,-2.0,1.0,-3.0,1.0,5.0,2.0,
Net Profit,-2.0,-3.0,-4.0,-5.0,-2.0,4.0,-13.0,-16.0,-16
EPS in Rs,-8.8,-5.87,-5.48,-3.63,-1.58,2.98,-8.86,-11.04,-11.04
